"city";"lat";"long";"country";"iso2";"admin_name";"capital";"population"
Aadorf;47.4939;8.8975;Switzerland;CH;Thurgau;"";9036
Aarau;47.3923;8.0446;Switzerland;CH;Aargau;admin;21268
Aarberg;47.0458;7.2764;Switzerland;CH;Bern;minor;4629
Aarburg;47.3206;7.9014;Switzerland;CH;Aargau;"";8068
Aarwangen;47.2414;7.7708;Switzerland;CH;Bern;"";4514
Ababkovo;56.0272;43.1564;Russia;RU;Nizhegorodskaya Oblast’;"";1181
Abakan;53.7167;91.4167;Russia;RU;Khakasiya;admin;181709
Abalak;58.1297;68.5975;Russia;RU;Tyumenskaya Oblast’;"";1009
Abana;41.9786;34.011;Turkey;TR;Kastamonu;minor;0
Abatskoye;56.2872;70.4542;Russia;RU;Tyumenskaya Oblast’;"";7959
Abaza;52.65;90.0833;Russia;RU;Khakasiya;"";15335
Abazivka;49.6053;34.3499;Ukraine;UA;Poltavs’ka Oblast’;"";1679
Abdrakhmanovo;54.7758;52.4908;Russia;RU;Tatarstan;"";1687
Abdulino;53.6833;53.65;Russia;RU;Orenburgskaya Oblast’;"";19222
Abinsk;44.8667;38.1667;Russia;RU;Krasnodarskiy Kray;minor;38547
Abja-Paluoja;58.1258;25.3586;Estonia;EE;Viljandimaa;minor;1061
Ablayevo;54.9745;54.837;Russia;RU;Bashkortostan;"";1067
Abram-Tyube;44.3058;45.2717;Russia;RU;Stavropol’skiy Kray;"";1059
Abrau-Dyurso;44.7028;37.6017;Russia;RU;Krasnodarskiy Kray;"";3519
Abrykosivka;45.1097;35.0986;Ukraine;UA;Krym, Avtonomna Respublika;"";1079
Achikulak;44.5467;44.8314;Russia;RU;Stavropol’skiy Kray;"";5936
Achinsk;56.2817;90.5039;Russia;RU;Krasnoyarskiy Kray;"";105264
Achkhoy-Martan;43.1939;45.2833;Russia;RU;Chechnya;minor;23282
Acquarossa;46.4599;8.9273;Switzerland;CH;Ticino;"";1808
